group id	post id	comment id	text length	author id	age	city id
-25557243	2483009	2483253	19	311222585	None	116
-25557243	2483009	2483254	2	218374869	21	144
-25557243	2483009	2483256	29	30564688	19	2
-25557243	2483009	2483257	7	17606446	26	1055710
-25557243	2483009	2483260	20	13523137	24	106
-25557243	2483009	2483261	2	155980400	None	528
-25557243	2483009	2483262	5	67443073	None	397
-25557243	2483009	2483263	10	200400913	18	314
-25557243	2483009	2483264	1	418924924	37	0
-25557243	2483009	2483265	18	52323810	22	0
-25557243	2483009	2483266	12	269342440	21	8239
-25557243	2483009	2483267	4	16285465	23	95
-25557243	2483009	2483268	7	186978568	None	121
-25557243	2483009	2483269	13	115274784	None	1
-25557243	2483009	2483270	3	206409674	24	2
-25557243	2483009	2483271	11	135754873	None	0
-25557243	2483009	2483272	8	399538028	None	0
-25557243	2483009	2483273	19	169304406	31	552
-25557243	2483009	2483274	20	55217959	26	99
-25557243	2483009	2483275	8	3392657	31	49
-25557243	2483009	2483276	26	13523137	24	106
-25557243	2483009	2483278	13	16285465	23	95
-25557243	2483009	2483280	13	27212434	29	0
-25557243	2483009	2483281	1	200133843	29	2131
-25557243	2483009	2483282	30	118756019	25	10
-25557243	2483009	2483285	1	305591395	None	153
-25557243	2483009	2483286	5	99417812	23	16729
-25557243	2483009	2483287	1	19480342	None	0
-25557243	2483009	2483288	1	184758261	None	0
-25557243	2483009	2483289	1	98799021	19	158
-25557243	2483009	2483290	3	230764898	24	134
-25557243	2483009	2483292	12	15372657	30	147
-25557243	2483009	2483293	8	181394800	None	134
-25557243	2483009	2483294	7	186964908	32	10
-25557243	2483009	2483296	1	79342056	None	2
-25557243	2483009	2483297	1	38575288	34	104
-25557243	2483009	2483298	1	139758982	None	0
-25557243	2483009	2483299	6	313400554	None	1070219
-25557243	2483009	2483300	6	181147592	27	2
-25557243	2483009	2483301	3	175383882	13	6579
-25557243	2483009	2483302	3	386716261	None	0
-25557243	2483009	2483304	1	68067246	20	82
-25557243	2483009	2483305	15	176189076	None	0
-25557243	2483009	2483306	21	359710118	None	0
-25557243	2483009	2483307	12	11756937	23	1
-25557243	2483009	2483308	30	5118464	35	49
-25557243	2483009	2483312	2	289194050	18	801
-25557243	2483009	2483314	8	309700938	27	73
-25557243	2483009	2483315	1	245813225	21	552
-25557243	2483009	2483316	31	169304406	31	552
-25557243	2483009	2483317	2	32926458	None	1
-25557243	2483009	2483318	8	3505270	27	124
-25557243	2483009	2483319	11	17279386	None	1386
-25557243	2483009	2483320	2	319864715	None	0
-25557243	2483009	2483322	3	2718869	26	49
-25557243	2483009	2483323	15	236554957	21	1705677
-25557243	2483009	2483324	7	316563051	13	0
-25557243	2483009	2483325	7	17279386	None	1386
-25557243	2483009	2483327	5	236554957	21	1705677
-25557243	2483009	2483328	6	15154163	29	83
-25557243	2483009	2483330	1	80617113	None	505
-25557243	2483009	2483331	1	214250931	None	37
-25557243	2483009	2483332	10	40300290	24	1
-25557243	2483009	2483333	4	80617113	None	505
-25557243	2483009	2483334	4	80617113	None	505
-25557243	2483009	2483336	11	40300290	24	1
-25557243	2483009	2483337	1	80617113	None	505
-25557243	2483009	2483338	11	116332057	None	1
-25557243	2483009	2483339	13	80617113	None	505
-25557243	2483009	2483340	6	315007275	None	40
-25557243	2483009	2483341	5	104890212	21	19612
-25557243	2483009	2483342	2	40300290	24	1
-25557243	2483009	2483343	16	16865481	None	4159910
-25557243	2483009	2483345	7	231282468	None	0
-25557243	2483009	2483346	9	80617113	None	505
-25557243	2483009	2483348	9	44424831	20	119
-25557243	2483009	2483349	7	352905089	None	1661
-25557243	2483009	2483350	1	21041689	110	1904878
-25557243	2483009	2483351	7	3971280	28	123
-25557243	2483009	2483353	7	377197691	None	0
-25557243	2483009	2483355	5	10436052	30	97
-25557243	2483009	2483358	1	385940509	14	136
-25557243	2483009	2483360	3	149986835	None	0
-25557243	2483009	2483361	15	231161139	15	0
-25557243	2483009	2483363	10	90277501	None	1
-25557243	2483009	2483364	9	165923460	27	0
-25557243	2483009	2483369	5	323222844	None	71
-25557243	2483009	2483370	7	156372939	25	0
-25557243	2483009	2483373	8	38685806	None	0
-25557243	2483009	2483374	1	3630517	None	1
-25557243	2483009	2483375	14	30833327	21	143
-25557243	2483009	2483376	7	165923460	27	0
-25557243	2483009	2483377	2	249290194	None	0
-25557243	2483009	2483378	23	319214976	None	171
-25557243	2483009	2483379	3	293744158	None	72
-25557243	2483009	2483381	14	116634191	None	8
-25557243	2483009	2483382	15	147237461	None	1
-25557243	2483009	2483383	14	13003924	26	2
-25557243	2483009	2483384	46	52275988	None	30
-25557243	2483009	2483385	7	18689011	None	1
-25557243	2483009	2483386	10	4006504	None	478
-25557243	2483009	2483387	5	6341999	25	0
-25557243	2483009	2483388	3	246795036	34	0
-25557243	2483009	2483389	13	301160927	None	0
-25557243	2483009	2483390	1	146691903	20	1050397
-25557243	2483009	2483391	11	154697512	26	122
-25557243	2483009	2483392	7	277523163	None	468
-25557243	2483009	2483393	23	126156106	None	99
-25557243	2483009	2483394	18	26655301	None	158
-25557243	2483009	2483395	6	306480329	35	1130164
-25557243	2483009	2483396	52	175828854	24	95
-25557243	2483009	2483398	2	70145288	None	119
-25557243	2483009	2483399	3	39512395	21	1
-25557243	2483009	2483400	12	33982968	31	1002332
-25557243	2483009	2483401	23	64325242	30	8162
-25557243	2483009	2483402	4	256468700	None	392
-25557243	2483009	2483404	26	5977148	27	72
-25557243	2483009	2483405	2	5251386	24	2
-25557243	2483009	2483406	11	175828854	24	95
-25557243	2483009	2483407	3	256468700	None	392
-25557243	2483009	2483408	12	175828854	24	95
